"","UID","Chores","Hobbies","TV","Sports","Exercise"
"28","57131432","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"29","57131909","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"30","57133772","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"31","57134457","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"32","57134967","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"33","57134970","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"34","57135078","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"35","57136630","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"36","57138056","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"37","57139880","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"38","57141051","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"39","57141800","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"40","57141919","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"41","57144659","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"42","57145151","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"43","57145199","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"44","57145731","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times"
"45","57146734","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"46","57153160","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"47","57154247","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"48","57154249","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"49","57154779","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"50","57155472","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"51","57157723","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"52","57159779","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"53","57159952","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"54","57160648","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"55","57163116","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"56","57163657","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"57","57164981","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"58","57165081","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all"
"59","57165288","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times"
"60","57165348","(2) 3 or 4 times","(0) Not at all","(0) Not at all","(2) 3 or 4 times","(0) Not at all"
"61","57166019","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"62","57166450","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"63","57166463","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"64","57167951","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times"
"65","57169110","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"66","57171515","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"67","57177419","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"68","57177942","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all"
"69","57178110","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times"
"70","57178982","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"71","57179591","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times"
"72","57185559","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"73","57186150","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"74","57186582","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"75","57188247","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"76","57188313","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times"
"77","57191424","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times"
"78","57191909","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"79","57191910","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times"
"80","57192841","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(3) 5 or more times"
"81","57193349","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times"
"82","57194529","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times"
"83","57196641","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"84","57197327","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"85","57198440","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"86","57199320","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"87","57199896","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"88","57200870","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times"
"89","57201771","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"90","57203993","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"91","57205050","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all"
"92","57207032","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"93","57210612","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times"
"94","57211108","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times"
"95","57211375","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"96","57212347","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times"
"97","57212679","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"98","57212861","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"99","57213037","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"100","57213527","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times"
"101","57214806","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"102","57214893","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"103","57217465","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"104","57217613","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"105","57218874","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"106","57220133","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"107","57220241","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times"
"108","57220692","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times"
"109","57220955","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times"
"110","57223848","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"111","57225699","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"112","57227208","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"113","57228523","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"114","57229751","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"115","57230663","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"116","57230940","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times"
"117","57231300","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"118","57231320","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times"
"119","57231603","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(0) Not at all"
"120","57232895","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times"
"121","57233403","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"122","57234514","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"123","57235039","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"124","57239363","(0) Not at all","(0) Not at all","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times"
"125","57239974","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"126","57241075","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times"
"127","57241170","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"128","57242812","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"129","57242885","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"130","57244606","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(0) Not at all","(3) 5 or more times"
"131","57245293","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times"
"132","57245315","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"133","57245379","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"134","57245533","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all"
"135","57247222","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"136","57248884","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"137","57249576","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"138","57251197","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"139","57253279","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"140","57256220","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times"
"141","57256290","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"142","57258521","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"143","57258682","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"144","57258751","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"145","57260813","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"146","57262270","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"147","57263479","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"148","57263513","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"149","57265490","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"150","57268298","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"151","57268950","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all","(0) Not at all"
"152","57269468","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all"
"153","57270588","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"154","57272130","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"155","57272274","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"156","57275298","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"157","57275660","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times"
"158","57277289","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"159","57277290","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"160","57279640","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"161","57279680","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"162","88122937","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all"
"163","88143447","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"164","88149345","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"165","88178056","(0) Not at all","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"166","88183732","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all"
"167","88191219","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"168","88191364","(0) Not at all","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"169","88202138","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"170","88239382","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"171","88249047","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all"
"172","88251811","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times"
"173","88268811","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"174","90316053","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"175","90316656","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"176","90500059","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"177","90500217","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"178","90500459","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times"
"179","90500516","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"180","90500633","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times"
"181","90500638","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"182","90500914","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"183","90500974","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all"
"184","90501955","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"185","90503807","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"186","90504005","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"187","90504104","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"188","90504142","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"189","90504220","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"190","90504248","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all"
"191","90504280","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"192","90504297","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"193","90504500","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"194","90504504","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"195","90504603","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"196","90504786","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"197","90504829","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times"
"198","90506040","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"199","90506094","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"200","90506203","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"201","90506236","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"202","90506268","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"203","90506285","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times"
"204","90506286","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times"
"205","90506372","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"206","90506397","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"207","90506428","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"208","90506472","(0) Not at all","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times"
"209","90506497","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"210","90506725","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"211","90506828","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"212","90506849","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"213","90506896","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"214","90506987","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"215","90507056","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"216","90507350","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"217","90507957","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"218","90508033","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times"
"219","90508165","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"220","90508325","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"221","90508577","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"222","90508671","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"223","90508969","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"224","90508987","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"225","90540850","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"226","90543102","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
